n_train,qrc_z,qrc_zz,d1,d2,d3,rff_z,rff_zz,ok_dim_zz
44,0.2979623162040024,0.14081472384675497,-0.5103514882617102,-0.5619311503880744,-3.9532108238256454,-0.6664307013004138,0.4319709727947254,False
80,0.8605305689317952,0.8706970410548092,0.8097336240570403,0.7520313898542311,0.8109605090500462,0.7831727114721317,0.9159271007682234,True
120,0.8982694478018514,0.9073076069915826,0.853857986435884,0.8496877986904809,0.9336841083292232,0.8521723824403085,0.9539326148959111,True
178,0.8834901571606881,0.9222021230434935,0.8330726075626476,0.7904399382343728,0.94668534208227,0.8279408086344748,0.9549353603812796,True
250,0.8872806616380358,0.9361650576998023,0.8433551290653538,0.819100552704647,0.9615697856135592,0.8437468061677694,0.9607258039904543,True
